City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Sanmenxia,34.7747,111.1814,82.56,73,3,8.79,CN,2022-07-09 18:00:19
109,Khani,41.9563,42.9566,67.57,95,13,2.48,GE,2022-07-09 18:00:19
110,Barrow,71.2906,-156.7887,53.62,76,75,16.11,US,2022-07-09 18:00:19
111,Mahebourg,-20.4081,57.7,68.25,58,84,22.3,MU,2022-07-09 18:00:20
112,Avarua,-21.2078,-159.775,71.65,68,20,6.91,CK,2022-07-09 18:00:20
113,Ponta Do Sol,32.6667,-17.1,82.13,55,4,2.86,PT,2022-07-09 17:57:42
114,Hauterive,46.0901,3.4459,79.56,49,10,6.89,FR,2022-07-09 18:00:20
115,Kuusamo,65.9667,29.1833,59.04,82,20,6.91,FI,2022-07-09 18:00:21
116,Salinopolis,-0.6136,-47.3561,81.88,78,17,10.76,BR,2022-07-09 17:58:09
117,Narimanov,46.6927,47.8498,76.91,29,37,8.28,RU,2022-07-09 18:00:21
118,Sioux Lookout,50.1001,-91.917,82.4,30,7,10.04,CA,2022-07-09 18:00:22
119,Ahipara,-35.1667,173.1667,57.4,93,38,5.97,NZ,2022-07-09 17:58:44
120,Ucluelet,48.9329,-125.5528,63.09,81,100,1.99,CA,2022-07-09 18:00:15
121,Meulaboh,4.1363,96.1285,77.43,88,100,3.31,ID,2022-07-09 18:00:22
122,Mangaratiba,-22.9597,-44.0406,72.37,68,8,5.39,BR,2022-07-09 18:00:22
123,Livingston,55.9029,-3.5226,74.21,46,0,12.66,GB,2022-07-09 18:00:23
124,Raga,8.4596,25.678,71.73,88,100,4.18,SS,2022-07-09 18:00:22
125,Belaya Gora,68.5333,146.4167,44.67,85,55,5.08,RU,2022-07-09 18:00:23
126,Uyuni,-20.4597,-66.825,52.03,24,36,19.64,BO,2022-07-09 18:00:24
127,Macau,22.2006,113.5461,85.86,94,40,5.75,MO,2022-07-09 18:00:24
128,Touros,-5.1989,-35.4608,81.43,68,22,16.06,BR,2022-07-09 18:00:24
129,Fomboni,-12.28,43.7425,77.56,65,10,16.91,KM,2022-07-09 18:00:25
130,Saint-Augustin,51.226,-58.6502,61.5,68,56,20.49,CA,2022-07-09 18:00:25
131,Adrar,20.5022,-10.0711,108.73,9,7,5.77,MR,2022-07-09 18:00:26
132,Constitucion,-35.3333,-72.4167,52.07,93,100,17.83,CL,2022-07-09 18:00:26
133,Aanekoski,62.6946,25.818,59.68,100,100,4.34,FI,2022-07-09 18:00:26
134,Hithadhoo,-0.6,73.0833,82.45,76,13,5.59,MV,2022-07-09 18:00:27
135,Beloha,-25.1667,45.05,65.52,59,0,11.45,MG,2022-07-09 18:00:27
136,Tarakan,3.3,117.6333,80.29,80,100,6.55,ID,2022-07-09 18:00:27
137,Yenagoa,4.9247,6.2642,74.8,92,100,6.04,NG,2022-07-09 18:00:28
138,Dwarka,22.2394,68.9678,82.69,84,100,25.81,IN,2022-07-09 18:00:28
139,Dikson,73.5069,80.5464,33.49,88,49,6.08,RU,2022-07-09 18:01:28
140,Edgewater,28.9889,-80.9023,96.19,59,100,9.01,US,2022-07-09 18:01:28
141,Osoyoos,49.0331,-119.4524,79.75,35,2,3.38,CA,2022-07-09 18:01:29
142,Turukhansk,65.8167,87.9833,59.61,90,39,8.05,RU,2022-07-09 18:01:29
143,Natal,-5.795,-35.2094,86.22,66,75,17.27,BR,2022-07-09 17:58:52
144,Nieuw Amsterdam,5.8833,-55.0833,79.02,94,75,5.75,SR,2022-07-09 18:01:29
145,Mwene-Ditu,-7.0,23.45,72.14,34,14,2.1,CD,2022-07-09 18:01:30
146,Anadyr,64.75,177.4833,53.01,87,98,13.0,RU,2022-07-09 18:01:30
147,Buala,-8.145,159.5921,78.62,80,67,5.35,SB,2022-07-09 18:01:30
148,Plettenberg Bay,-34.0527,23.3716,62.46,69,0,10.22,ZA,2022-07-09 18:01:31
149,Honiara,-9.4333,159.95,75.45,79,69,4.54,SB,2022-07-09 18:01:31
150,Huayang,34.4155,109.9939,70.47,76,0,7.25,CN,2022-07-09 18:01:31
151,Bengkulu,-3.8004,102.2655,75.11,87,5,4.23,ID,2022-07-09 18:01:32
152,Port Moresby,-9.4431,147.1797,75.49,91,94,5.64,PG,2022-07-09 18:01:32
153,Maniitsoq,65.4167,-52.9,41.95,89,100,10.76,GL,2022-07-09 18:01:32
154,Kaoma,-14.7833,24.8,60.39,44,5,5.28,ZM,2022-07-09 18:01:32
155,Namatanai,-3.6667,152.4333,77.25,75,8,7.0,PG,2022-07-09 18:01:33
156,Iskilip,40.7353,34.4739,72.95,59,20,8.46,TR,2022-07-09 18:01:33
157,Londiani,-0.165,35.5909,52.83,93,97,1.68,KE,2022-07-09 18:01:33
158,Kaeo,-35.1,173.7833,57.33,96,43,6.02,NZ,2022-07-09 18:01:34
159,Vila Velha,-20.3297,-40.2925,69.94,94,41,12.37,BR,2022-07-09 18:00:20
160,Zdvinsk,54.7021,78.661,66.18,72,99,7.9,RU,2022-07-09 18:01:34
161,Valley City,46.9233,-98.0032,73.92,83,0,17.27,US,2022-07-09 18:01:34
162,College,64.8569,-147.8028,72.21,64,75,3.44,US,2022-07-09 18:01:35
163,Te Anau,-45.4167,167.7167,31.12,90,100,4.14,NZ,2022-07-09 18:01:35
164,Broome,42.2506,-75.833,81.66,42,0,7.0,US,2022-07-09 18:01:35
165,Qazanbulaq,40.6192,46.6519,85.1,32,2,15.97,AZ,2022-07-09 18:01:35
166,Batsfjord,70.6345,29.7185,57.13,72,100,6.62,NO,2022-07-09 18:01:36
167,Varhaug,58.6147,5.6457,54.95,77,95,25.52,NO,2022-07-09 18:01:36
168,Hamilton,39.1834,-84.5333,78.89,89,100,6.91,US,2022-07-09 17:57:26
169,Hambantota,6.1241,81.1185,81.0,74,88,20.15,LK,2022-07-09 17:58:47
170,Tessalit,20.1986,1.0114,103.62,6,72,5.44,ML,2022-07-09 18:01:36
171,Japura,-0.3167,102.35,74.07,97,94,0.43,ID,2022-07-09 18:01:37
172,Tasiilaq,65.6145,-37.6368,48.36,80,100,4.83,GL,2022-07-09 18:01:37
173,Katsuura,35.1333,140.3,77.02,91,100,16.42,JP,2022-07-09 18:01:37
174,Egvekinot,66.3167,-179.1667,40.82,99,100,7.18,RU,2022-07-09 18:01:37
175,Mweka,-4.85,21.5667,75.42,34,20,1.43,CD,2022-07-09 18:01:38
176,Kyshtovka,56.555,76.6271,65.44,79,96,3.58,RU,2022-07-09 18:01:38
177,Predivinsk,57.0669,93.4378,63.77,69,98,0.65,RU,2022-07-09 18:01:38
178,Vardo,70.3705,31.1107,49.98,81,96,8.05,NO,2022-07-09 18:01:38
179,Baker City,44.7749,-117.8344,74.59,49,27,4.25,US,2022-07-09 18:01:39
180,Sao Filipe,14.8961,-24.4956,74.39,84,36,6.51,CV,2022-07-09 18:01:39
181,Hilo,19.7297,-155.09,76.24,86,81,1.01,US,2022-07-09 17:58:42
182,Avera,33.194,-82.5271,75.25,61,95,5.17,US,2022-07-09 18:01:39
183,Dondo,-19.6094,34.7431,67.51,82,39,6.24,MZ,2022-07-09 18:01:39
184,Nome,64.5011,-165.4064,65.16,73,2,4.59,US,2022-07-09 18:01:40
185,Pasni,25.2631,63.471,83.3,84,83,6.04,PK,2022-07-09 18:01:40
