City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Albion,US,42.2431,-84.753,75.38,41,0,3.44,clear sky
153,Selfoss,IS,63.9331,-20.9971,49.05,92,100,14.2,overcast clouds
154,Likasi,CD,-10.9814,26.7333,53.2,66,10,4.34,clear sky
155,Agirish,RU,61.9247,63.0231,64.27,71,56,1.66,broken clouds
156,Kenora,CA,49.8167,-94.4337,74.37,68,75,6.91,broken clouds
157,Paita,PE,-5.0892,-81.1144,65.5,79,61,18.1,broken clouds
158,Porec,HR,45.2258,13.5939,67.44,62,38,4.14,scattered clouds
159,Gijon,ES,43.5357,-5.6615,69.24,88,0,8.01,clear sky
160,Registro,BR,-24.4875,-47.8436,60.8,99,56,0.89,broken clouds
161,Husavik,IS,66.0449,-17.3389,53.02,84,98,5.68,overcast clouds
162,Puerto Escondido,MX,15.85,-97.0667,83.68,82,34,5.91,scattered clouds
163,Cidreira,BR,-30.1811,-50.2056,62.29,92,20,15.19,few clouds
164,Soyo,AO,-6.1349,12.3689,69.26,91,100,6.08,overcast clouds
165,Sierra Vista,US,31.5545,-110.3037,95.45,16,20,6.91,few clouds
166,Bijawar,IN,24.6333,79.5,85.87,63,96,4.16,overcast clouds
167,Bria,CF,6.5423,21.9863,69.94,96,99,1.72,overcast clouds
168,Dafeng,CN,23.4517,108.5881,81.18,86,33,1.36,scattered clouds
169,Billings,US,45.7833,-108.5007,95.29,34,46,8.99,scattered clouds
170,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.09,99,100,2.95,overcast clouds
171,Maumere,ID,-8.6199,122.2111,79.54,78,81,6.29,broken clouds
172,Diplo,PK,24.4667,69.584,83.26,79,100,11.54,overcast clouds
173,Bilibino,RU,68.0546,166.4372,39.29,93,100,5.39,overcast clouds
174,Hilton Head Island,US,32.2163,-80.7526,77.0,94,40,5.75,scattered clouds
175,Ilulissat,GL,69.2167,-51.1,50.02,71,99,6.91,overcast clouds
176,Acarau,BR,-2.8856,-40.12,78.78,78,95,15.43,overcast clouds
